,words,count
650,parmesan,564
651,walking,560
652,cheesy,560
653,medium,560
654,craft,559
655,watch,558
656,moved,557
657,cut,557
658,burgers,557
659,help,556
660,five,555
661,worst,554
662,miss,554
663,lived,553
664,vegetarian,553
665,understand,552
666,ranch,551
667,opinion,549
668,set,546
669,city,544
670,8,544
671,tasting,543
672,saying,543
673,cocktail,541
674,takeout,540
675,veggie,539
676,pepper,539
677,change,538
678,tender,538
679,filling,538
680,environment,537
681,store,535
682,drive,535
683,dog,535
684,hand,534
685,minute,534
686,truffle,534
687,texture,531
688,caesar,530
689,exactly,528
690,green,528
691,limited,527
692,picnic,525
693,italy,525
694,gone,524
695,marinara,523
696,entrees,523
697,personal,523
698,based,515
699,prosciutto,514
700,phenomenal,514
701,window,511
702,located,511
703,baked,510
704,nyc,509
705,cannot,508
706,weird,508
707,soggy,508
708,disappoint,508
709,pesto,507
710,including,506
711,ahead,503
712,disappointing,502
713,visited,502
714,pleasant,502
715,bottle,501
716,homeslice,501
717,kinda,500
718,favorites,500
719,reservations,500
720,chance,499
721,simply,498
722,bartenders,498
723,fish,498
724,incredibly,497
725,mediocre,496
726,anywhere,495
727,crazy,495
728,pieces,494
729,finish,493
730,goat,492
731,bottom,491
732,cozy,490
733,piece,490
734,desserts,490
735,upon,489
736,ambience,489
737,establishment,488
738,kept,487
739,park,487
740,rolls,487
741,basically,485
742,feeling,485
743,talk,484
744,arent,484
745,takes,484
746,indoor,484
747,goes,483
748,creamy,483
749,generous,481
750,7,481
751,greeted,481
752,seen,481
753,etc,480
754,hang,479
755,idea,479
756,stand,477
757,sub,477
758,afternoon,477
759,within,477
760,number,476
761,specialty,476
762,sorry,476
763,seat,475
764,game,475
765,note,474
766,beyond,473
767,chill,472
768,received,471
769,tacos,471
770,needs,470
771,head,470
772,deliver,469
773,butter,469
774,veggies,468
775,onions,468
776,picked,467
777,mention,465
778,grilled,465
779,cake,465
780,paid,464
781,heavy,463
782,middle,462
783,chef,457
784,black,457
785,prefer,456
786,bone,455
787,play,455
788,longer,451
789,arugula,451
790,shoulder,451
791,crowd,449
792,recommendations,449
793,works,447
794,whatever,447
795,folks,446
796,chicago,446
797,girl,445
798,empty,445
799,strong,445
800,knowledgeable,445
801,tiny,444
802,serving,443
803,burnt,440
804,finished,439
805,complaint,438
806,rich,437
807,issue,436
808,onion,436
809,certainly,435
810,coffee,435
811,despite,435
812,write,434
813,taken,433
814,plain,431
815,multiple,431
816,ones,430
817,says,430
818,forget,429
819,lets,429
820,buy,424
821,bill,424
822,entree,423
823,read,423
824,treat,423
825,anyway,422
826,traditional,420
827,expectations,419
828,notch,419
829,stay,419
830,hostess,419
831,salt,419
832,brick,416
833,comfortable,415
834,box,414
835,standard,414
836,leaves,413
837,charge,412
838,soup,412
839,except,412
840,pizzeria,411
841,thinking,410
842,addition,410
843,cadillac,408
844,fairly,408
845,fabulous,408
846,popular,407
847,overpriced,407
848,dine,406
849,normally,406
850,mine,405
851,hear,405
852,hate,404
853,combination,404
854,steak,403
855,dark,403
856,100,403
857,chips,401
858,heat,401
859,shop,400
860,expecting,400
861,placed,399
862,unless,398
863,watching,397
864,youve,397
865,mostly,397
866,goto,395
867,hype,395
868,happened,395
869,covid,394
870,original,394
871,total,389
872,weather,389
873,board,389
874,marrow,388
875,sauces,387
876,covered,386
877,min,385
878,touch,385
879,suggest,384
880,olives,384
881,welcoming,384
882,seasoned,383
883,salmon,383
884,appreciate,383
885,horrible,383
886,otherwise,382
887,goodness,381
888,pickup,381
889,turned,380
890,noticed,380
891,25,379
892,sort,378
893,fair,378
894,surprise,378
895,interior,378
896,detroiter,378
897,somewhere,377
898,checked,376
899,building,376
900,locations,376
901,mix,376
902,yeah,375
903,double,374
904,months,374
905,conversation,373
906,gotten,372
907,forgot,372
908,heaven,372
909,considering,371
910,meals,371
911,case,371
912,delish,370
913,personally,370
914,cook,369
915,low,368
916,level,368
917,dip,368
918,plan,368
919,alone,368
920,frozen,366
921,togo,366
922,closed,364
923,potato,364
924,nights,363
925,accommodating,363
926,leftovers,362
927,lol,362
928,drinking,360
929,theyve,360
930,cost,359
931,spent,359
932,chain,359
933,missing,358
934,refreshing,358
935,helped,358
936,patrizis,356
937,obviously,356
938,potatoes,355
939,card,355
940,worked,353
941,dirty,352
942,lack,352
943,returning,352
944,per,352
945,sad,352
946,greek,351
947,giant,351
948,consistently,351
949,normal,351
950,playing,350
951,carbonara,349
952,means,348
953,balance,348
954,absolute,348
955,savory,347
956,40,347
957,combo,347
958,attention,346
959,hold,346
960,round,345
961,breakfast,344
962,whats,344
963,calzone,343
964,filled,343
965,beat,342
966,clearly,341
967,owners,341
968,heart,341
969,lemon,341
970,bomb,340
971,nicely,339
972,bbq,339
973,month,339
974,nearby,339
975,sign,339
976,35,338
977,asking,338
978,met,338
979,reasonably,337
980,poor,337
981,glasses,337
982,typical,337
983,bites,337
984,attitude,336
985,paying,335
986,pm,335
987,mixed,335
988,exceptional,334
989,rating,333
990,artichoke,333
991,overly,333
992,crunch,332
993,car,332
994,satisfied,332
995,welcome,332
996,matter,331
997,affordable,330
998,balsamic,330
999,smaller,330
1000,become,330
1001,sides,329
1002,talking,329
1003,value,328
1004,apparently,328
1005,topped,328
1006,groups,327
1007,barely,326
1008,chose,326
1009,stuffed,326
1010,jackalope,326
1011,lady,326
1012,wood,325
1013,feels,325
1014,mentioned,325
1015,perhaps,325
1016,apps,325
1017,mins,324
1018,kid,323
1019,mac,323
1020,difficult,323
1021,fancy,322
1022,calamari,322
1023,face,321
1024,straight,320
1025,typically,319
1026,tons,319
1027,shot,318
1028,juicy,318
1029,omg,318
1030,wanting,317
1031,none,317
1032,changed,317
1033,greens,316
1034,management,315
1035,brunch,314
1036,stick,314
1037,wines,313
1038,similar,313
1039,avoid,313
1040,center,313
1041,recommendation,312
1042,tough,312
1043,weeks,312
1044,daily,312
1045,showed,312
1046,usual,311
1047,w,311
1048,app,311
1049,bars,310
1050,e,310
1051,ravioli,310
1052,running,309
1053,creative,309
1054,tvs,309
1055,spend,308
1056,trailer,308
1057,checking,307
1058,shrimp,307
1059,pleased,307
1060,sour,306
1061,garden,306
1062,tea,306
1063,meats,306
1064,sticks,305
1065,fill,304
1066,summer,303
1067,meh,303
1068,meet,303
1069,edges,303
1070,bunch,302
1071,young,302
1072,roll,302
1073,favor,302
1074,wall,301
1075,charcuterie,301
1076,item,300
1077,fig,300
1078,mod,299
1079,future,299
1080,beignets,298
1081,brewery,298
1082,seeing,296
1083,sprout,296
1084,save,295
1085,hell,294
1086,delightful,294
1087,hidden,294
1088,mood,293
1089,moving,293
1090,ipa,293
1091,possible,292
1092,pulled,292
1093,loves,291
1094,supposed,291
1095,lasagna,290
1096,austins,290
1097,youd,290
1098,fans,289
1099,setting,288
1100,rock,288
1101,knows,287
1102,picky,287
1103,cauliflower,286
1104,school,286
1105,bruschetta,285
1106,pastas,285
1107,larger,284
1108,actual,284
1109,reading,283
1110,square,283
1111,convenient,283
1112,pass,282
1113,buffet,279
1114,enjoying,279
1115,lost,278
1116,surprisingly,278
1117,laid,278
1118,corn,278
1119,bucks,278
1120,move,277
1121,drunk,277
1122,suggested,277
1123,1010,277
1124,lamb,276
1125,joints,276
1126,superb,276
1127,pineapple,275
1128,guests,275
1129,spaghetti,275
1130,yall,275
1131,forever,275
1132,mistake,275
1133,games,274
1134,questions,273
1135,imagine,273
1136,50,273
1137,rush,272
1138,san,272
1139,gorgonzola,272
1140,soda,272
1141,taco,272
1142,foster,271
1143,lacking,271
1144,legit,270
1145,lucky,270
1146,kick,270
1147,soco,270
1148,romantic,270
1149,pleasantly,270
1150,concept,269
1151,sized,269
1152,candied,269
1153,happen,269
1154,ton,268
1155,throughout,268
1156,al,268
1157,consistent,267
1158,seats,267
1159,regret,267
1160,9,267
1161,smoked,266
1162,update,266
1163,reminded,266
1164,awful,264
1165,hadnt,264
1166,whether,264
1167,enjoyable,264
1168,st,263
1169,quiet,263
1170,tiramisu,263
1171,system,263
1172,nearly,262
1173,leaving,261
1174,sell,261
1175,hey,261
1176,station,260
1177,known,260
1178,employee,260
1179,word,260
1180,dogs,260
1181,pear,259
1182,dipping,259
1183,bolognese,259
1184,thursday,258
1185,son,258
1186,likely,258
1187,sliced,258
1188,monday,258
1189,situation,257
1190,team,256
1191,god,256
1192,closer,255
1193,odd,255
1194,speak,255
1195,break,255
1196,appreciated,255
1197,dominos,254
1198,toasted,254
1199,rice,254
1200,jersey,254
1201,boy,254
1202,blue,254
1203,draft,254
1204,doughy,254
1205,company,253
1206,daughter,253
1207,atx,252
1208,melted,252
1209,finding,252
1210,general,252
1211,reminds,252
1212,turn,251
1213,provided,251
1214,flight,251
1215,version,250
1216,patrons,249
1217,rosemary,249
1218,types,249
1219,fix,249
1220,bigger,249
1221,paired,249
1222,somewhat,248
1223,consider,248
1224,hoboken,248
1225,gives,248
1226,opening,248
1227,wed,247
1228,complete,247
1229,cup,246
1230,chefs,246
1231,hoping,246
1232,doubt,246
1233,vibes,245
1234,tuesday,245
1235,elsewhere,244
1236,cause,244
1237,polite,244
1238,selections,244
1239,jalapeño,244
1240,14,244
1241,sizes,243
1242,gotta,243
1243,event,243
1244,whenever,243
1245,complimentary,243
1246,treated,242
1247,rare,242
1248,host,242
1249,sicilian,242
1250,hh,242
1251,website,241
1252,bowl,241
1253,morning,240
1254,basic,239
1255,impressive,239
1256,generally,239
1257,wednesday,239
1258,honest,239
1259,11,239
1260,grease,238
1261,air,238
1262,cooking,237
1263,disappointment,237
1264,experiences,237
1265,compared,237
1266,included,237
1267,support,236
1268,weekends,236
1269,efficient,236
1270,balls,236
1271,charged,235
1272,clear,235
1273,lovers,235
1274,spread,235
1275,bananas,234
1276,divine,234
1277,realized,233
1278,mess,233
1279,intimate,233
1280,skip,232
1281,pastrami,232
1282,waste,232
